ID,Species,Colony,Treatment,percent_change
73,Pseudodiploria clivosa,B,Untreated,-0.6802721088435374
83,Pseudodiploria clivosa,A,Untreated,-19.40993788819876
16,Pseudodiploria clivosa,A,Untreated,15.716753022452504
41,Pseudodiploria clivosa,C,Untreated,-13.274336283185843
110,Pseudodiploria clivosa,A,Untreated,19.014084507042252
127,Pseudodiploria clivosa,A,Untreated,-19.969278033794165
131,Pseudodiploria clivosa,C,Untreated,-8.47457627118644
35,Pseudodiploria clivosa,C,Untreated,5.9891107078039925
49,Pseudodiploria clivosa,B,Untreated,6.492411467116358
70,Pseudodiploria clivosa,B,Untreated,3.5532994923857872
116,Pseudodiploria clivosa,A,Untreated,-14.144736842105262
134,Pseudodiploria clivosa,C,Untreated,-6.791907514450866
36,Pseudodiploria clivosa,C,Untreated,-2.618657937806874
52,Pseudodiploria clivosa,B,Untreated,-3.4848484848484853
54,Pseudodiploria clivosa,A,Untreated,-26.021180030257185
126,Pseudodiploria clivosa,A,Untreated,-4.241435562805873
147,Pseudodiploria clivosa,C,Untreated,-8.034433285509325
27,Pseudodiploria clivosa,B,Untreated,-5.92
34,Pseudodiploria clivosa,A,Untreated,16.422764227642276
58,Pseudodiploria clivosa,A,Untreated,-8.108108108108109
64,Pseudodiploria clivosa,C,Untreated,-5.775577557755775
135,Pseudodiploria clivosa,C,Untreated,6.312292358803987
44,Pseudodiploria clivosa,C,Untreated,10.590277777777777
56,Pseudodiploria clivosa,B,Untreated,-6.372549019607843
60,Pseudodiploria clivosa,B,Untreated,-13.661202185792352
115,Pseudodiploria clivosa,C,Untreated,-15.43026706231454
20,Pseudodiploria clivosa,B,Untreated,7.516891891891891
24,Pseudodiploria clivosa,B,Untreated,-14.351851851851851
80,Pseudodiploria clivosa,C,Untreated,-12.861736334405144
84,Pseudodiploria clivosa,B,Untreated,-11.154446177847113
89,Pseudodiploria clivosa,B,Untreated,-15.841584158415841
98,Pseudodiploria clivosa,A,Treated,1.2558869701726845
105,Pseudodiploria clivosa,B,Treated,-13.983050847457626
113,Pseudodiploria clivosa,B,Treated,-17.937853107344633
136,Pseudodiploria clivosa,C,Treated,1.8957345971563981
138,Pseudodiploria clivosa,B,Treated,-19.61367013372957
8,Pseudodiploria clivosa,A,Treated,0
14,Pseudodiploria clivosa,B,Treated,-6.0402684563758395
92,Pseudodiploria clivosa,B,Treated,5.535055350553505
117,Pseudodiploria clivosa,A,Treated,12.241379310344827
118,Pseudodiploria clivosa,B,Treated,-42.924528301886795
42,Pseudodiploria clivosa,A,Treated,-7.207207207207207
63,Pseudodiploria clivosa,C,Treated,6.774193548387098
67,Pseudodiploria clivosa,C,Treated,-11.918604651162791
112,Pseudodiploria clivosa,B,Treated,-17.105263157894736
150,Pseudodiploria clivosa,A,Treated,3.9660056657223794
18,Pseudodiploria clivosa,C,Treated,-3.4257748776508974
88,Pseudodiploria clivosa,B,Treated,-20.588235294117645
100,Pseudodiploria clivosa,A,Treated,-3.814262023217247
109,Pseudodiploria clivosa,B,Treated,-27.27272727272727
125,Pseudodiploria clivosa,A,Treated,-9.89010989010989
149,Pseudodiploria clivosa,B,Treated,-14.583333333333334
6,Pseudodiploria clivosa,B,Treated,-41.71348314606742
59,Pseudodiploria clivosa,B,Treated,-42.87396937573616
130,Pseudodiploria clivosa,A,Treated,-1.5172413793103448
140,Pseudodiploria clivosa,C,Treated,-18.34862385321101
23,Pseudodiploria clivosa,C,Treated,-1.3157894736842104
39,Pseudodiploria clivosa,C,Treated,15.789473684210526
45,Pseudodiploria clivosa,B,Treated,-14.501510574018129
102,Pseudodiploria clivosa,A,Treated,9.859154929577464
87,Pseudodiploria clivosa,A,Treated,-19.101123595505616
