,TimePoint,Species,Genotype,ID,Replicate,Percent,Name,Tank,Treatment
402,T2,Pcli,B,P66,r3,2.18,,T1,Control
403,T2,Pcli,A,P69,r1,4.79,,T1,Control
404,T2,Pcli,A,P69,r2,5.26,,T1,Control
405,T2,Pcli,A,P69,r3,6.86,,T1,Control
406,T2,Pcli,C,P76,r1,8.43,,T2,Variable
407,T2,Pcli,C,P76,r2,8.19,,T2,Variable
408,T2,Pcli,C,P76,r3,7.86,,T2,Variable
409,T2,Pcli,B,P79,r1,6.44,,T2,Variable
410,T2,Pcli,B,P79,r2,5.83,,T2,Variable
411,T2,Pcli,B,P79,r3,5.87,,T2,Variable
370,T2,Pcli,A,P8,r1,3.01,,T3,Variable
371,T2,Pcli,A,P8,r2,3.14,,T3,Variable
372,T2,Pcli,A,P8,r3,3.36,,T3,Variable
412,T2,Pcli,B,P96,r1,4.19,,T2,Variable
413,T2,Pcli,B,P96,r2,4.44,,T2,Variable
414,T2,Pcli,B,P96,r3,4.41,,T2,Variable
