Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/26/2022 22:35:07.434,28.016672,28.017475,28.035473,27.983184,27.965269,27.98125,28.051208,28.022835,26.978104,27.062683,27.033769,27.041669,27.07419,26.991774,27.063175,27.01328
4/26/2022 22:40:07.641,27.997953,27.979955,28.052913,28.05942,28.003952,27.992577,27.991855,27.996707,27.04221,27.060732,26.995102,27.001052,27.051684,27.021934,27.024704,26.981858
4/26/2022 22:45:09.242,28.019311,28.048192,28.004591,28.037439,28.057912,28.045012,28.02726,27.990675,27.083434,27.020557,27.033687,27.005559,27.016722,27.050094,26.990102,27.056979
4/26/2022 22:50:12.186,27.99315,28.018508,27.982168,27.99533,28.026654,28.016098,28.019081,28.040636,27.06006,26.991741,27.045488,27.073141,26.990676,27.007821,27.001298,27.077894
4/26/2022 22:55:07.592,28.013082,27.982775,28.055453,28.005935,27.97989,27.975857,27.973186,28.020179,27.018787,27.007641,27.003428,27.063207,27.019197,26.966417,27.062716,27.049734
4/26/2022 23:00:10.052,27.995281,28.04611,28.035259,28.05129,27.986364,28.018704,28.051159,27.992068,26.978989,27.073386,26.991889,27.012886,27.059126,27.045013,27.060142,27.024163
4/26/2022 23:05:11.167,28.023966,28.016557,27.99274,28.029391,28.040144,28.041537,27.989069,28.001756,27.005313,27.052865,27.054455,26.992545,27.035424,27.028228,27.02954,27.000265
4/26/2022 23:10:06.496,27.994789,27.979431,27.987364,27.98802,28.041046,27.998445,28.020655,28.03703,27.065355,27.022639,27.036096,27.070239,27.010346,26.985054,26.985005,27.011673
4/26/2022 23:15:11.059,28.007706,28.054372,28.044111,28.018901,27.999494,27.980054,28.021786,28.024769,27.06665,26.977711,26.9992,27.064076,26.989217,27.017853,27.020262,27.071928
4/26/2022 23:20:11.583,28.008001,28.027851,28.024835,28.046045,27.973399,28.03857,27.98307,27.978119,27.038916,27.014935,27.013427,27.022869,27.047947,27.04721,27.064486,27.06006
4/26/2022 23:25:10.827,27.993494,27.98643,27.978169,28.010591,28.021294,28.025048,28.051831,28.001231,26.998511,27.0706,27.053373,26.981038,27.066338,27.005281,27.048603,27.037948
4/26/2022 23:30:07.713,28.01382,28.035473,28.019524,27.981185,28.049438,27.979611,27.978562,28.040783,26.989938,27.053996,27.019738,27.03208,27.031605,26.985972,27.009231,27.007231
