term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0008355,olfactory learning,-235,0.474087621127031,2,31,0.839003867951153,-1017,0.00142768787336502,2,44,0.0120986049562734
GO:0008356,asymmetric cell division,200,0.299740153028393,3,91,0.737394142359583,-271,0.187370225013404,3,107,0.395580317120583
GO:0008360,regulation of cell shape,-230,0.222596244009569,2,95,0.670492827759359,-512,0.00505974899304938,2,136,0.0316921777961381
GO:0008361,regulation of cell size,5,0.972746777765036,4,185,0.994910287140505,-56,0.743539704682025,3,155,0.873859683789034
GO:0008407,chaeta morphogenesis,265,0.497164114736522,2,22,0.846008184230313,-190,0.616469380244978,4,31,0.792947500817341
GO:0008542,visual learning,-564,0.0915543708601013,2,30,0.485378497421727,123,0.719615002681912,2,38,0.857215804228324
GO:0008544,epidermis development,141,0.307687062372327,4,180,0.743327247670967,-248,0.110177172429382,2,189,0.282804434799249
GO:0008586,imaginal disc-derived wing vein morphogenesis,676,0.0312607105147416,2,34,0.312893900656726,287,0.435637083875203,4,33,0.652318338746948
GO:0008587,imaginal disc-derived wing margin morphogenesis,72,0.809148313814978,2,38,0.96089306812989,-910,0.014894807647008,2,32,0.0704980115530871
GO:0008589,regulation of smoothened signaling pathway,227,0.274262424560536,2,78,0.7206654749411,-156,0.574098956213033,5,58,0.767574300505244
GO:0008593,regulation of Notch signaling pathway,-14,0.93430021242107,2,115,0.991470743915011,-365,0.10509079881946,3,89,0.274861848665104
GO:0008610,lipid biosynthetic process,-9,0.931783406844551,2,328,0.991470743915011,318,0.0110764537646393,4,296,0.0564723035435693
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,-30,0.912259746056889,4,44,0.987876381995986,519,0.0798983414814882,4,51,0.236412935962555
GO:0008637,apoptotic mitochondrial changes,-533,0.0766997541093034,3,37,0.452694011084998,-515,0.0822538726514556,3,51,0.239993894255196
GO:0009060,aerobic respiration,-447,0.078698852721009,5,52,0.456586256075915,-559,0.0868457395592001,5,42,0.246223160742874
GO:0009064,glutamine family amino acid metabolic process,21,0.944269629341671,4,38,0.992038661993386,-61,0.839322199196401,2,50,0.922480845487839
GO:0009066,aspartate family amino acid metabolic process,-160,0.581734723618026,2,40,0.885201544181156,-93,0.788435225458798,3,37,0.896596745362397
GO:0009069,serine family amino acid metabolic process,-21,0.94545389851657,5,34,0.992038661993386,259,0.501418689431739,3,30,0.707325629828738
GO:0009100,glycoprotein metabolic process,-346,0.00844256485192982,3,199,0.159780249060711,-378,0.00578805581713015,3,245,0.0348341218237206
GO:0009112,nucleobase metabolic process,634,0.0537819665079851,2,31,0.401341487415949,255,0.424604764871868,2,44,0.645589698568374
GO:0009143,nucleoside triphosphate catabolic process,167,0.795907877577431,4,8,0.957159936548696,-98,0.332951919940807,4,464,0.55915136281183
GO:0009164,nucleoside catabolic process,-140,0.76645879854488,2,15,0.951207132844099,-65,0.514770672922648,2,474,0.717813914752997
GO:0009225,nucleotide-sugar metabolic process,-146,0.661440978935846,2,30,0.922520760313915,-310,0.400380018544323,3,33,0.623986079689781
GO:0009266,response to temperature stimulus,-360,0.0084996037562395,2,184,0.159780249060711,-376,0.0157075691653807,3,189,0.0733617358344166
GO:0009267,cellular response to starvation,-74,0.635624093099121,3,139,0.906640504266039,-103,0.639683719941537,2,93,0.803964544419435
GO:0009268,response to pH,271,0.374382152665745,2,36,0.79004048077046,46,0.904506585945731,3,30,0.956370495690326
GO:0009314,response to radiation,97,0.342709082294481,2,340,0.765845573964467,265,0.022971345456233,2,343,0.0955221358829954
GO:0009408,response to heat,-244,0.147324345808884,3,120,0.586505371655396,-520,0.00586185609094708,2,127,0.0351864017959193
GO:0009409,response to cold,-561,0.0699077063377465,2,35,0.44316698140891,-430,0.210039034823427,2,38,0.42431198533567
GO:0009410,response to xenobiotic stimulus,177,0.256965102008688,3,140,0.704747030516491,117,0.512339888168759,2,142,0.716157333067914
GO:0009411,response to UV,82,0.632471558191934,3,115,0.90507144541894,788,8.26923376674699e-4,2,81,0.00818050808255443
GO:0009416,response to light stimulus,82,0.481481679514679,2,253,0.841794343698134,301,0.0240149185030106,4,260,0.097972366636176
GO:0009451,RNA modification,392,0.0388332154588855,6,94,0.341844591602474,539,0.107095600762734,2,40,0.278303675037319
GO:0009583,detection of light stimulus,325,0.173072374133054,2,59,0.619566799533625,-153,0.524134258684871,2,78,0.726475926800137
GO:0009584,detection of visible light,476,0.104498474766994,4,39,0.508963553441029,-314,0.304122511186646,3,48,0.526278069283198
GO:0009593,detection of chemical stimulus,-576,0.115216359013435,3,25,0.527025368553991,-467,0.0635428450112053,2,71,0.199041856477797
GO:0009612,response to mechanical stimulus,-25,0.869490525515417,2,148,0.980813631046841,60,0.666190021922765,3,241,0.820464218675458
GO:0009615,response to virus,-482,0.0133821188073564,3,89,0.210373078081064,-16,0.937503328983275,3,103,0.967298645168509
GO:0009617,response to bacterium,-91,0.412812954759551,4,284,0.816495528721302,-214,0.111998554928354,3,254,0.285571536625947
GO:0009620,response to fungus,-496,0.0395248509151179,4,58,0.344938277350891,-689,0.0201790501340764,2,51,0.0885956391600878
GO:0009636,response to toxic substance,-60,0.562445887644433,3,331,0.879266832073842,-5,0.965837375027283,2,342,0.981593981233636
GO:0009725,response to hormone,121,0.163075481969981,2,479,0.607858647655061,-303,0.00199591688710145,2,496,0.0158119560987436
GO:0009743,response to carbohydrate,-118,0.502316345630123,2,109,0.848398183889095,-746,7.99139132331926e-4,2,91,0.00804373668133227
GO:0009755,hormone-mediated signaling pathway,-2,0.993844191191393,3,61,0.999524347888836,-196,0.487659265176453,3,56,0.697304346297596
GO:0009798,axis specification,24,0.857057878617399,3,190,0.979249209605357,-32,0.817349749531327,2,242,0.91322887671823
GO:0009913,epidermal cell differentiation,94,0.576839290935776,3,121,0.883148563585366,-522,0.0135209443901823,3,101,0.0653370583215308
GO:0009914,hormone transport,-221,0.4403214792965,3,41,0.824763014213726,410,0.166943386400537,2,51,0.369374300866502
GO:0009948,anterior/posterior axis specification,66,0.694708976998458,4,121,0.92622244033826,74,0.664791056667602,4,157,0.820285706423783
GO:0009950,dorsal/ventral axis specification,60,0.79859446603866,2,61,0.95847361999545,43,0.845591268712078,2,91,0.92417632735009
GO:0009952,anterior/posterior pattern specification,260,0.044548276285367,2,205,0.37011990094739,-56,0.633690542240934,2,335,0.802611211753739
GO:0009953,dorsal/ventral pattern formation,158,0.287751239278508,2,155,0.730074047941531,0,0.999150663342461,4,209,0.999150663342461
GO:0009954,proximal/distal pattern formation,414,0.239567032595681,2,27,0.687809559373389,642,0.0551307455533242,4,40,0.180250168085691
GO:0010035,response to inorganic substance,68,0.511610445426738,3,323,0.852561981777207,-115,0.321162853760114,2,345,0.545125462383699
GO:0010038,response to metal ion,143,0.240408366338517,4,233,0.688308546576065,-165,0.232681971042375,4,240,0.449942905413317
GO:0010043,response to zinc ion,-14,0.964444302429899,2,36,0.994714383228984,613,0.0780424680255631,2,37,0.232113404901836
GO:0010171,body morphogenesis,365,0.0571106375580949,2,92,0.41081628539177,-53,0.636123564161559,3,378,0.802712861327191
GO:0010172,embryonic body morphogenesis,647,0.0273861547671986,2,39,0.299381711934005,-70,0.820625404701408,2,47,0.915557385206556
GO:0010212,response to ionizing radiation,177,0.300012597583876,2,116,0.737394142359583,282,0.184857849035457,4,100,0.393441682388484
GO:0010332,response to gamma radiation,-234,0.4029974876451,2,43,0.810291134513936,586,0.111702258069647,5,33,0.285131456091402
GO:0010389;GO:1902749,regulation of cell cycle G2/M phase transition,175,0.320500486070043,2,109,0.753590582548312,-170,0.495396442348425,7,72,0.703133497298719
GO:0010469,regulation of signaling receptor activity,225,0.237723119750351,2,93,0.686310406615683,121,0.656893088127984,2,60,0.815807418176187
GO:0010506,regulation of autophagy,-158,0.201811541191649,2,226,0.650833130703457,-87,0.731597091546377,2,70,0.866117768882588
GO:0010522,regulation of calcium ion transport into cytosol,-115,0.660409147181281,3,49,0.922444184754116,172,0.63556300248331,2,34,0.802712861327191
GO:0010564,regulation of cell cycle process,427,1.57699820141711e-6,5,454,2.75213636430504e-4,151,0.134593567968413,2,468,0.322492904539701
GO:0010565,regulation of cellular ketone metabolic process,84,0.690188285726934,3,76,0.92551059455271,-698,9.00148989004113e-4,2,102,0.00860930879524681
GO:0010608,posttranscriptional regulation of gene expression,-341,0.00166314526553718,2,297,0.0577863530159574,-170,0.125297253540841,2,380,0.308228569276028
GO:0010623,programmed cell death involved in cell development,9,0.97295945793294,2,52,0.994910287140505,-557,0.027818273830113,2,70,0.109984770460395
GO:0010632,regulation of epithelial cell migration,-208,0.214491400713574,4,121,0.665936591287733,62,0.788251171083586,4,84,0.896596745362397
GO:0010634,positive regulation of epithelial cell migration,-120,0.551525260397238,2,83,0.871708819992362,185,0.491234830841904,5,62,0.699812289920018
GO:0010638,positive regulation of organelle organization,276,0.0046437078678717,3,374,0.109659854628745,91,0.609227883967829,2,144,0.788164212833737
GO:0010639,negative regulation of organelle organization,248,0.0330353921621388,2,257,0.320436131853467,284,0.102048130438158,2,151,0.270085405784073
GO:0010675;GO:0006109,regulation of carbohydrate metabolic process,0,0.998405165859895,2,88,0.999710632100998,-668,0.0217064564832349,3,53,0.0923125132727979
GO:0010769,regulation of cell morphogenesis involved in differentiation,37,0.771478580904994,2,212,0.951502292035375,-624,7.41088091054137e-5,6,184,0.00119723427900392
GO:0010770,positive regulation of cell morphogenesis involved in differentiation,-126,0.448305626012026,3,123,0.82790654297303,-217,0.436105232108046,3,58,0.652318338746948
GO:0010771,negative regulation of cell morphogenesis involved in differentiation,-88,0.746752140196647,4,45,0.945683685287682,-807,0.00512883666054721,3,54,0.0320378550204914
GO:0010810,regulation of cell-substrate adhesion,-1,0.997048291302461,2,84,0.999710632100998,-464,0.0819745098702087,2,63,0.239785844226943
GO:0010811,positive regulation of cell-substrate adhesion,-280,0.310096324712816,2,44,0.743549648926774,-411,0.231235696183067,2,38,0.448651750590883
GO:0010817,regulation of hormone levels,113,0.307004674612716,2,288,0.74299489796467,8,0.950034518156833,3,276,0.972393234614343
GO:0010821,regulation of mitochondrion organization,-130,0.51302986312707,4,85,0.852561981777207,-885,0.0161731121076056,3,33,0.0750080953883922
GO:0010830,regulation of myotube differentiation,160,0.668280079895712,2,24,0.923370779085894,-244,0.298212757891418,2,82,0.522722742919938
GO:0010883,regulation of lipid storage,-707,0.00460134703697886,2,54,0.109131948203129,-448,0.204208613586849,3,36,0.417287991416389
GO:0010906,regulation of glucose metabolic process,-228,0.342919456428088,3,58,0.765845573964467,-893,0.0069036408799523,2,41,0.0400828519604283
GO:0010921,regulation of phosphatase activity,4,0.987209380369253,2,64,0.99874391133425,-251,0.33606457899374,3,66,0.55915136281183
GO:0010927,cellular component assembly involved in morphogenesis,80,0.635988310224013,3,118,0.906773714655512,-130,0.287104466807539,2,313,0.511532243764863
GO:0010948,negative regulation of cell cycle process,572,3.46329976270147e-5,2,180,0.00385557147051766,276,0.0336368662769924,2,275,0.125792500698082
GO:0010959,regulation of metal ion transport,-38,0.805732694567369,2,142,0.960295356972908,-79,0.724130440743868,2,91,0.860573177061764
GO:0010972;GO:1902750,negative regulation of cell cycle G2/M phase transition,124,0.648788599910969,2,45,0.91621461461402,-277,0.30313992858874,5,62,0.525366567967704
GO:0014013,regulation of gliogenesis,98,0.669380688339535,4,64,0.923568103124565,33,0.914770088010059,2,47,0.960612780347693
GO:0014070,response to organic cyclic compound,88,0.2964684578223,2,513,0.736884630817222,-19,0.847459719481395,4,473,0.924902771498397
GO:0014074,response to purine-containing compound,-226,0.268922419687383,3,81,0.715286549254373,-391,0.0803846977593036,5,90,0.237142027550568
GO:0014075,response to amine,-263,0.49015904992248,3,23,0.842835072150855,-206,0.547608955136615,3,38,0.74379823828009
GO:0014902,myotube differentiation,406,0.0742229624875231,2,65,0.449873622632709,348,0.250471787851016,4,49,0.471308844143163
GO:0015672,monovalent inorganic cation transport,-222,0.126361908773299,2,162,0.546199851314062,-103,0.484307193728485,4,213,0.695163175084007
