gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Symbiodinium15596,NA,232.21317072331172,1.4176088348961844,0.410645167189615,3.452150294615801,5.561378574728503e-4,0.038041968442902474,Control vs Initial
Symbiodinium17083,NA,147.71042158799898,1.6898409016131024,0.35603243255132055,4.746311703975224,2.071593920052649e-6,6.140549644689394e-4,Control vs Initial
Symbiodinium17110,COG NOG15344 non supervised orthologous group,281.7552034644471,1.5071372969098191,0.30691115058755175,4.910663213195579,9.076886907270828e-7,3.2286486729162336e-4,Control vs Initial
Symbiodinium20109,NA,10.496476601974248,-1.2276495659210007,0.2892559144902748,-4.2441640928392355,2.1940975922230906e-5,0.004335780630854185,Control vs Initial
Symbiodinium20445,NA,7.748897496467505,1.1647108601555465,0.32536442020094447,3.5797118180169276,3.4397333476769167e-4,0.028419792087310453,Control vs Initial
Symbiodinium2116,NA,1668.611882183526,1.5112419522739544,0.23659033821195927,6.387589466650348,1.6852101806770495e-10,1.6348070761822542e-7,Control vs Initial
Symbiodinium22832,NA,174.43049447284682,2.172587244296887,0.4852790925425464,4.476985053928338,7.570454719405106e-6,0.0017188153683142954,Control vs Initial
Symbiodinium23563,NA,12.27454016248022,1.7713081241006385,0.2956153027770296,5.991936504845499,2.0735689075658455e-9,1.5805038437596526e-6,Control vs Initial
Symbiodinium24100,NA,63.2309733026937,-1.0005810475901626,0.1718237833532892,-5.823297730168439,5.769763442457344e-9,3.6217144526154307e-6,Control vs Initial
Symbiodinium24298,NA,6.375122911503537,1.1974488970557136,0.33710855680143037,3.5521165894375564,3.821454941972144e-4,0.029549815714336774,Control vs Initial
Symbiodinium24592,Green fluorescent protein,11.823430646244946,2.4408634969636904,0.3082036075241094,7.919646095553091,2.3818755189608946e-15,5.083398732566341e-12,Control vs Initial
Symbiodinium25286,NA,208.3681395757908,-1.3239143333089836,0.13660882913527483,-9.691279412094202,3.283888440020533e-22,3.504237354345911e-18,Control vs Initial
Symbiodinium26019,NA,58.67995364062625,1.130947552501407,0.2905038708898527,3.893055018637657,9.898969081108143e-5,0.013203987383063123,Control vs Initial
Symbiodinium26936,NA,6.419570286474049,-1.3052115268184876,0.3500960700691562,-3.728152465580841,1.9288867579672668e-4,0.02166647430975653,Control vs Initial
Symbiodinium27056,NA,10372.357539030862,1.2996669977671882,0.20973972620807754,6.196570488882116,5.770669242393844e-10,4.736831652737285e-7,Control vs Initial
Symbiodinium29618,Sodium:solute symporter family,28.04965598965934,-1.0552615679488428,0.17750118612719748,-5.945095866529262,2.7629510632746778e-9,1.9655633864136056e-6,Control vs Initial
Symbiodinium29675,26S proteasome non-ATPase regulatory subunit 2,6.541328788889721,1.0664837499896391,0.29665538587666324,3.595025746247661,3.24359498109524e-4,0.02791322745424783,Control vs Initial
Symbiodinium30341,NA,20.179514414876444,-1.0213321157090685,0.2251848215437216,-4.535528232797732,5.7459490790931755e-6,0.0014259307586744947,Control vs Initial
Symbiodinium32115,2-acylglycerol O-acyltransferase activity,8.790774920971282,-1.373954783278114,0.31501456120407656,-4.361559599106982,1.2913860789702182e-5,0.0027560761697382396,Control vs Initial
Symbiodinium3419,NA,312.2989980951582,1.4024545220432116,0.2105666726616888,6.6603822167836295,2.7311636985562553e-11,3.643030978411725e-8,Control vs Initial
Symbiodinium35510,NA,6.744258178477373,-1.2341531873871767,0.3572663440674967,-3.454434507701665,5.514481337171394e-4,0.038041968442902474,Control vs Initial
Symbiodinium3947,NA,10.455596911805685,1.2762119697803964,0.24064019701756878,5.303403112187538,1.1366354277926834e-7,4.4922357962873056e-5,Control vs Initial
Symbiodinium39736,NA,23.68857815570059,-1.163457331741713,0.210231606434479,-5.5341694404276804,3.1270656962903433e-8,1.588996097386393e-5,Control vs Initial
Symbiodinium44184,NA,7.035572931190161,-1.181806605281326,0.3367858017223543,-3.509074905288334,4.4966824349916524e-4,0.033263007449947694,Control vs Initial
Symbiodinium44896,NA,10.205240162540665,-1.2235529055372598,0.2966729293486393,-4.124248573078889,3.7194703988307716e-5,0.006401688488052124,Control vs Initial
Symbiodinium45086,NA,8.792311933702944,-1.1749658550800186,0.2792151598018772,-4.208101937995557,2.5752469535706065e-5,0.004907225043134275,Control vs Initial
Symbiodinium47913,NA,8.978488608276948,1.032111100823516,0.2444872926851906,4.221532700075722,2.4264674527766216e-5,0.004707788034287151,Control vs Initial
