Species,ID,Colony,Treatment,Random_Tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_time,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_time,bw_final_salinity,bw_final_temp,SWrho_initial,CalcMAir_initial,SWrho_final,CalcMAir_final,percent_change
Pseudodiploria clivosa,2,B,variable,2,5.6615,2022-03-17T00:00:00Z,1899-12-31T04:30:00Z,35.4,27.8,5.832,2022-04-21T00:00:00Z,1899-12-31T12:01:00Z,36.8,28.1,1.0226800981139443,8.69712258735241,1.023629592764422,8.963504644818164,3.062875736086934
Pseudodiploria clivosa,5,A,control,1,7.4694,2022-03-16T00:00:00Z,1899-12-31T03:22:00Z,35.3,27.7,7.767,2022-04-21T00:00:00Z,1899-12-31T11:08:00Z,36.3,28,1.0226378286809725,11.474140742167123,1.0232882495768405,11.935369882180375,4.019727057366908
Pseudodiploria clivosa,7,A,control,1,3.7652,2022-03-16T00:00:00Z,1899-12-31T02:58:00Z,35.3,27.9,3.941,2022-04-21T00:00:00Z,1899-12-31T10:59:00Z,36.1,28,1.0225726040140029,5.783725253824019,1.0231385480421413,6.055568425353637,4.700139781879913
Pseudodiploria clivosa,12,B,control,1,7.5642,2022-03-16T00:00:00Z,1899-12-31T03:26:00Z,35.3,27.7,7.7646,2022-04-21T00:00:00Z,1899-12-31T11:03:00Z,36.2,27.9,1.0226378286809725,11.619768040525416,1.0232462252041143,11.931418886235258,2.682074587228592
Pseudodiploria clivosa,13,A,control,1,4.4397,2022-03-16T00:00:00Z,1899-12-31T03:24:00Z,35.3,27.7,4.6669,2022-04-21T00:00:00Z,1899-12-31T11:20:00Z,36.3,28.2,1.0226378286809725,6.820058191153155,1.0232223491226076,7.171269808888301,5.149686525999597
Pseudodiploria clivosa,14,B,variable,3,8.8589,2022-03-18T00:00:00Z,1899-12-31T09:37:00Z,35.2,26.5,9.0321,2022-04-21T00:00:00Z,1899-12-31T12:45:00Z,36.6,28.4,1.0229478926890634,13.610837847844865,1.0233805950161192,13.880092131037413,1.9782344496535331
Pseudodiploria clivosa,16,A,control,4,4.9493,2022-03-18T00:00:00Z,1899-12-31T10:13:00Z,35.1,27.4,5.285,2022-04-21T00:00:00Z,1899-12-31T01:14:00Z,36.5,28.3,1.0225853343289966,7.602672487001446,1.02333893488439,8.121553580400546,6.824982850257571
Pseudodiploria clivosa,17,C,control,1,3.5028,2022-03-16T00:00:00Z,1899-12-31T02:15:00Z,35.4,28.2,3.9849,2022-04-21T00:00:00Z,1899-12-31T11:06:00Z,36.3,28,1.0225490092695653,5.380585949455946,1.0232882495768405,6.123503983970719,13.807381602925467
Pseudodiploria clivosa,19,A,variable,2,6.0342,2022-03-17T00:00:00Z,1899-12-31T03:45:00Z,35.5,28.3,6.341,2022-04-21T00:00:00Z,1899-12-31T11:50:00Z,36.2,27.8,1.0225908425006873,9.269225708856004,1.0232789794513943,9.744021175501793,5.122277540314505
Pseudodiploria clivosa,21,A,variable,2,5.6475,2022-03-17T00:00:00Z,1899-12-31T04:00:00Z,35.5,28.1,5.8176,2022-04-21T00:00:00Z,1899-12-31T11:42:00Z,36.1,28.1,1.0226567056370548,8.675509568153945,1.0231056577283582,8.938915818321629,3.0362049410284233
