	Pcli-003	Pcli-004	Pcli-006	Pcli-008	Pcli-011	Pcli-015	Pcli-018	Pcli-024	Pcli-026	Pcli-028	Pcli-029	Pcli-033	Pcli-038	Pcli-039	Pcli-040	Pcli-045	Pcli-049	Pcli-050	Pcli-052	Pcli-055	Pcli-058	Pcli-064	Pcli-066	Pcli-067	Pcli-069	Pcli-070	Pcli-075	Pcli-076	Pcli-077	Pcli-079	Pcli-091	Pcli-094	Pcli-096	Pcli-101	Pcli-103	Pcli-105	Pcli-109	Pcli-111	Pcli-114	Pcli-115	Pcli-120	Pcli-124	Pcli-126	Pcli-128	Pcli-130	Pcli-132	Pcli-135	Pcli-148	
Breviolum165511	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	
Breviolum165520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Breviolum165530	0	0	1	5	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	
Breviolum165569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum165586	4	0	0	2	0	0	1	0	1	2	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	5	0	0	1	0	0	0	5	1	0	0	0	2	1	0	5	0	7	3	0	0	0	0	
Breviolum165600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	
Breviolum165607	3	0	0	0	0	0	3	1	5	3	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	4	1	0	0	0	0	1	1	0	0	0	3	0	1	0	6	0	1	8	1	0	0	2	
Breviolum165647	0	0	0	0	0	0	1	0	0	0	1	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	
Breviolum16569	0	0	0	0	0	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Breviolum165718	6	0	0	0	0	1	0	4	0	11	4	1	2	0	0	1	1	0	2	1	0	0	0	0	1	6	1	0	2	0	0	2	1	0	5	4	4	0	0	0	3	1	16	3	4	0	0	1	
Breviolum16572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Breviolum165749	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum165751	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	
Breviolum165758	2	1	2	6	0	1	0	1	4	3	1	6	6	1	0	2	0	1	8	1	0	0	0	0	0	7	2	0	2	1	0	0	3	0	2	11	13	0	0	2	1	2	8	14	0	0	0	1	
Breviolum16577	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum165779	0	0	1	1	0	0	0	0	0	2	0	1	0	3	0	0	0	3	3	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	
Breviolum16578	0	1	0	0	0	0	2	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	6	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	
Breviolum16581	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	0	1	2	2	2	0	2	
Breviolum165816	3	0	6	1	0	1	1	2	2	6	3	3	2	0	3	0	0	0	9	0	0	0	0	1	1	6	4	2	1	0	0	0	3	0	0	1	5	0	0	1	3	0	9	18	0	2	3	2	
Breviolum165852	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	
Breviolum165883	1	1	0	1	1	0	0	11	0	6	2	5	1	4	0	4	4	1	5	1	0	1	0	0	0	4	5	4	0	0	0	1	1	0	0	2	9	0	0	0	6	0	15	12	4	0	0	4	
Breviolum165924	3	0	3	1	0	0	1	5	0	0	0	5	0	1	0	0	2	9	3	0	0	0	0	0	0	2	1	0	3	0	3	4	0	0	2	3	6	4	0	0	4	0	11	9	0	0	0	2	
Breviolum165932	0	0	1	1	0	1	0	3	0	10	3	8	5	3	0	0	0	0	3	0	0	0	0	1	0	7	6	0	0	1	2	2	0	0	0	1	4	4	0	0	2	2	6	14	2	0	0	0	
Breviolum165977	1	0	1	3	0	2	5	1	1	3	1	2	1	0	0	0	0	1	4	0	0	0	0	1	0	5	1	0	0	0	1	0	3	3	1	3	4	2	1	3	0	0	2	7	5	0	0	3	
Breviolum165979	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	5	1	0	0	0	1	0	2	5	2	0	0	0	
Breviolum165984	0	0	0	0	0	1	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	
Breviolum165988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum166012	7	0	3	5	0	1	2	7	9	7	1	10	7	2	0	0	5	1	3	3	0	0	0	3	5	18	1	0	2	0	4	6	1	0	2	12	18	3	0	9	7	1	18	19	4	0	0	2	
Breviolum166026	4	1	7	11	0	0	0	7	4	12	10	6	2	1	2	0	0	2	5	0	0	0	0	0	1	3	9	0	0	0	3	2	3	1	2	9	6	4	0	4	8	1	20	23	3	0	0	1	
Breviolum166043	7	7	6	5	0	0	3	7	6	8	4	10	12	0	3	0	4	0	13	0	3	1	0	3	2	14	5	1	3	0	4	3	7	1	2	16	19	0	0	2	16	2	11	26	19	0	0	3	
Breviolum166062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	
Breviolum166067	0	0	0	1	0	0	0	2	0	1	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	2	1	3	1	5	7	4	0	2	1	
Breviolum166078	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum16610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
Breviolum166108	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	0	0	2	
