term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,287,0.0737062615301046,2,132,0.448736223936072,-42,0.833848742302467,2,106,0.901023243008937
GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,416,0.0813689776071334,2,59,0.463327529067759,-6,0.985094217786328,3,39,0.991507358516568
GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,100,0.655221739169772,3,67,0.919355318530337,440,0.108803606090181,3,55,0.21569311376201
GO:0090150,establishment of protein localization to membrane,-1069,1.01615637688771e-11,2,138,9.23855505987076e-9,1287,1.54936382366418e-13,4,138,1.73528748250388e-11
GO:0090175,regulation of establishment of planar polarity,368,0.173695103618907,2,46,0.619566799533625,961,0.00518789126075379,2,35,0.0189265088340203
GO:0090183,regulation of kidney development,701,0.0555065163931322,2,25,0.407135648124595,-271,0.436963657145982,3,34,0.585641293860221
GO:0090184,positive regulation of kidney development,958,0.0261794962221027,3,18,0.29085325296337,-382,0.295435311140679,2,31,0.445119114641689
GO:0090257,regulation of muscle system process,286,0.114927847002672,2,103,0.527025368553991,-219,0.336824023065114,2,80,0.488024457739881
GO:0090287,regulation of cellular response to growth factor stimulus,137,0.332310179959073,4,172,0.761021004062445,77,0.652634829882263,2,143,0.763794158273913
GO:0090288,negative regulation of cellular response to growth factor stimulus,127,0.530202098161993,2,83,0.861312782229623,387,0.125538822221389,2,65,0.239325073851839
GO:0090305,nucleic acid phosphodiester bond hydrolysis,315,0.0213005505067606,2,183,0.269592814418513,-644,1.79138692993507e-4,5,142,0.00108159210864004
GO:0090316,positive regulation of intracellular protein transport,-86,0.675111718653226,2,81,0.924295797557729,-9,0.966608756777494,2,83,0.979730142616102
GO:0090317,negative regulation of intracellular protein transport,-361,0.24403582533345,2,35,0.69321418596518,810,0.00487720847156089,2,50,0.0180876605567821
GO:0090382,phagosome maturation,178,0.66304346689039,2,20,0.922520760313915,575,0.0415942554753717,2,52,0.103179548466038
GO:0090407,organophosphate biosynthetic process,-32,0.744653886647693,2,359,0.945373725449437,-356,0.00358047058229932,2,288,0.014021423259354
GO:0090598,male anatomical structure morphogenesis,65,0.795144700206718,2,53,0.957027102246315,-180,0.508686025768604,2,56,0.648922004834056
GO:0097164,ammonium ion metabolic process,76,0.668643446145714,3,108,0.923405062968322,-354,0.0814080241964597,2,101,0.175003814011583
GO:0097190,apoptotic signaling pathway,-292,0.0536925252357894,4,149,0.401222911179769,-156,0.398964073232803,2,122,0.54877586387152
GO:0097193,intrinsic apoptotic signaling pathway,-336,0.0797584548149001,2,92,0.458464036897029,50,0.820433888679553,3,86,0.891400223083604
GO:0097194,execution phase of apoptosis,241,0.423540369137843,2,37,0.821042186797062,31,0.900228538186782,2,69,0.938982812718753
GO:0097237,cellular response to toxic substance,-158,0.374144737826972,2,108,0.79004048077046,279,0.239661242350145,3,74,0.386300152494902
GO:0097305,response to alcohol,-1,0.996352831973466,4,203,0.999710632100998,-24,0.865381194677618,2,216,0.922097106856431
GO:0097306,cellular response to alcohol,107,0.65558687869375,2,59,0.919396926790512,293,0.281923059348046,5,56,0.429948589606351
GO:0097435,supramolecular fiber organization,36,0.770030126527543,3,227,0.951502292035375,147,0.240977938161874,2,273,0.387224233488234
GO:0098542,defense response to other organism,-315,0.00266866052497775,3,319,0.080428415269357,524,0.00151614287241421,3,154,0.00684709684316095
GO:0098609,cell-cell adhesion,-157,0.348625090772056,3,121,0.769627628555874,393,0.0217039246583341,2,143,0.0609232972865519
GO:0098656,anion transmembrane transport,149,0.314164680396291,2,157,0.748697392556473,-796,1.01591649115098e-5,2,129,9.32644647614014e-5
GO:0098722,asymmetric stem cell division,-36,0.893979035753873,2,46,0.984073077163644,843,0.00961277410679945,4,39,0.0318529792888029
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,-361,0.196101960830252,2,43,0.644807833833047,531,0.0130806929878264,2,91,0.0412373808787951
GO:0098930,axonal transport,-525,0.0665315178158114,3,41,0.435689591458885,667,0.0721964190786198,2,30,0.159330028311437
GO:0110053,regulation of actin filament organization,-206,0.229198361740256,2,116,0.676527772416762,586,0.0177211566549296,2,68,0.0516194940273632
GO:0110110,positive regulation of animal organ morphogenesis,188,0.450903169193965,5,54,0.829290892769076,18,0.950948721588266,2,46,0.969560826744523
GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,-41,0.858698974303232,5,64,0.979249209605357,583,0.116199554127934,4,30,0.225551994147809
GO:0120192;GO:0120193,tight junction assembly,656,0.0189454199018109,3,43,0.256444827703172,456,0.161247890356858,6,39,0.28895621951949
GO:0140029,exocytic process,-483,0.0312346096593705,2,67,0.312893900656726,65,0.837677603149675,2,41,0.903852519776143
GO:1900180,regulation of protein localization to nucleus,34,0.870483836627596,6,80,0.980813631046841,214,0.259979896227117,2,116,0.407359625401515
GO:1900181,negative regulation of protein localization to nucleus,-210,0.57410718167819,2,24,0.882597837859661,1029,0.00137163836373576,3,40,0.00624485759099208
GO:1900424,regulation of defense response to bacterium,-361,0.343436601195206,2,23,0.765845573964467,606,0.0456855179796246,2,45,0.111113529070965
GO:1901068,guanosine-containing compound metabolic process,-386,0.22577784853613,3,33,0.672647822918945,459,0.00387096416375268,3,167,0.015001660427
GO:1901069,guanosine-containing compound catabolic process,-153,0.851321868087838,2,5,0.977895448505784,511,0.00192768595486623,3,155,0.00835206293791171
GO:1901136,carbohydrate derivative catabolic process,92,0.614412691867021,3,102,0.894720030468393,6,0.949869505812439,4,537,0.968901499553672
GO:1901137,carbohydrate derivative biosynthetic process,-167,0.103221239912901,2,337,0.507872233799671,-30,0.79182890750986,4,343,0.873190813866066
GO:1901214,regulation of neuron death,31,0.806312086222602,2,218,0.960523297483899,279,0.132054684453581,3,122,0.249201763417036
GO:1901215,negative regulation of neuron death,93,0.54888728332153,2,142,0.869895447565063,317,0.142371021306276,2,89,0.263286643040143
GO:1901264,carbohydrate derivative transport,-540,0.0657304328230577,4,39,0.433519147964718,123,0.666798409918157,2,51,0.773957605893197
GO:1901568,fatty acid derivative metabolic process,173,0.3876310714065,2,84,0.799103309100915,-861,0.00252610034653923,3,51,0.0105364724917606
GO:1901605,alpha-amino acid metabolic process,-56,0.712436532515527,3,146,0.93448086438326206,-627,3.21252338717765e-5,2,186,2.6418307208968e-4
GO:1901615,organic hydroxy compound metabolic process,-152,0.193481635840705,2,256,0.640611657326994,-99,0.387461346526633,2,327,0.538121375409075
