delta.rank,pval,level,nseqs,term,name,p.adj,GO_category,Contrast
-550,0.00208620039752934,2,134,GO:1903034,regulation of response to wounding,0.0253172794005255,BP,Variable_vs_Initial
-943,4.86824364083265e-4,2,58,GO:1903313,positive regulation of mRNA metabolic process,0.00850161572399068,BP,Variable_vs_Initial
-1440,0.00382053686573378,2,17,GO:1903539,protein localization to postsynaptic membrane,0.0392526652615761,BP,Variable_vs_Initial
-465,6.28255335021637e-5,3,326,GO:1903827,regulation of cellular protein localization,0.00194521435621834,BP,Variable_vs_Initial
-1772,1.68406037929263e-4,3,19,GO:1904385;GO:1990776,response to angiotensin,0.00395340075925745,BP,Variable_vs_Initial
2166,0.00520355401733789,2,7,GO:1904667,negative regulation of ubiquitin protein ligase activity,0.0491037189642692,BP,Variable_vs_Initial
-716,7.2228604336038e-4,2,95,GO:1905475,regulation of protein localization to membrane,0.0114288797137245,BP,Variable_vs_Initial
-2140,0.0017459677412568,2,9,GO:1990440,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,0.0219800070811406,BP,Variable_vs_Initial
-1180,0.00338149488521422,3,26,GO:2000050,regulation of non-canonical Wnt signaling pathway,0.0362041172009478,BP,Variable_vs_Initial
-2116,0.00110350314030634,2,10,GO:2000479,regulation of cAMP-dependent protein kinase activity,0.0154923185972419,BP,Variable_vs_Initial
1776,0.00126721538275124,2,11,GO:0000022,mitotic spindle elongation,0.0467071615737028,BP,Variable_vs_Control
739,7.51811577247709e-6,5,125,GO:0000075;GO:0007093,cell cycle checkpoint,0.00113920337607951,BP,Variable_vs_Control
707,2.87655094420879e-4,3,89,GO:0000077;GO:0031570,DNA integrity checkpoint,0.0167597782995668,BP,Variable_vs_Control
747,5.1114253215319e-4,3,73,GO:0000723;GO:0032200,telomere organization,0.0253844454489147,BP,Variable_vs_Control
737,3.35892948467491e-4,6,80,GO:0000724;GO:0000725,recombinational repair,0.0185080407463653,BP,Variable_vs_Control
-342,2.80751023280492e-4,2,402,GO:0002252,immune effector process,0.0166467046955987,BP,Variable_vs_Control
517,2.65848213055416e-9,4,478,GO:0006259,DNA metabolic process,9.6680133481153e-7,BP,Variable_vs_Control
