,AOI,Ft,Fm,fvfm,file,Tank,Puck,Colony,Date,Treatment_period,Treatment,CBASS_temp,Species
198,1,0.1637,0.2825,0.42,41,7,A82,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
199,2,0.1891,0.3465,0.454,41,7,A33,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
200,3,0.1935,0.4096,0.527,41,7,A89,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
201,4,0.1613,0.3211,0.498,41,7,A100,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
202,5,0.2287,0.4291,0.467,41,7,A84,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
203,6,0.1828,0.3382,0.46,41,NA,NANA,NA,4/6/22,Temp Treatment,NA,NA,Acervicornis
204,1,0.1672,0.3167,0.472,42,7,A150,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
205,2,0.1735,0.348,0.501,42,7,A56,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
206,3,0.1652,0.3446,0.521,42,NA,NANA,NA,4/6/22,Temp Treatment,NA,NA,Acervicornis
207,4,0.1452,0.2761,0.474,42,7,A87,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
208,5,0.2165,0.4213,0.486,42,7,A70,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
209,6,0.2116,0.371,0.43,42,NA,NANA,NA,4/6/22,Temp Treatment,NA,NA,Acervicornis
210,1,0.1857,0.3548,0.477,43,7,A108,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
211,2,0.1833,0.3631,0.495,43,7,A34,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
212,3,0.1784,0.3553,0.498,43,7,A23,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
213,4,0.1491,0.3045,0.51,43,7,A5,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
214,5,0.1872,0.3441,0.456,43,7,A75,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
215,6,0.2116,0.4115,0.486,43,7,A22,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
216,1,0.1808,0.3431,0.473,44,7,A25,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
217,2,0.1931,0.3622,0.467,44,7,A101,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
218,3,0.1848,0.3959,0.533,44,7,A44,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
