Species,ID,Colony,Treatment,Treatment_Tank,CBASS_tank,Removed_Date,Reason_removed,mortality_date,CBASS_recovery_tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_salinity,bw_final_temp,tissue_sampled,tissue_sampling_date
Acropora cervicornis,61,SI-C,Treated,8,5,4/23/22,RTL,4/23/22,,5.3725,3/12/22,33.9,25.7,,,,,Yes,3/30/22
Acropora cervicornis,149,SI-C,Treated,5,5,4/23/22,RTL,4/23/22,,4.493,3/9/22,33.8,25.4,4.9392,4/21/22,36.4,28.2,Yes,4/22/22
Acropora cervicornis,11,SI-C,Treated,5,6,6/29/22,RTL,,6,5.5481,3/9/22,34,25.1,,,,,Yes,3/30/22
Acropora cervicornis,131,SI-C,Treated,8,6,6/30/22,RTL,,6,5.096,3/12/22,33.9,25.5,5.4105,4/21/22,36.2,27.9,Yes,6/1/22
Acropora cervicornis,141,SI-C,Treated,5,7,7/6/22,RTL,7/6/22,7,5.125,3/9/22,33.8,25.4,,,,,Yes,4/20/22
Acropora cervicornis,62,SI-C,Treated,8,8,6/14/22,tissue sampling,6/14/22,8,5.6188,3/12/22,33.9,25.6,,,,,Yes,3/30/22
Acropora cervicornis,96,SI-C,Treated,5,8,7/7/22,RTL,7/7/22,8,5.9481,3/9/22,34,25.6,,,,,Yes,4/20/22
Acropora cervicornis,139,SI-C,Treated,5,8,6/14/22,tissue sampling,6/14/22,8,5.5609,3/9/22,33.7,25.3,,,,,Yes,3/22/22
Acropora cervicornis,136,SI-C,Treated,5,,,,2/24/22,,,,,,,,,,,
Acropora cervicornis,23,SI-C,Untreated,7,1,4/22/22,RTL,4/22/22,,6.4069,3/15/22,35.7,28.2,6.6349,4/21/22,36.3,28.1,,
Acropora cervicornis,106,SI-C,Untreated,6,1,4/22/22,RTL,4/22/22,,5.6045,3/15/22,35.5,27.9,,,,,Yes,4/20/22
Acropora cervicornis,14,SI-C,Untreated,6,2,4/22/22,RTL,4/22/22,,3.9356,3/15/22,35.5,28.2,,,,,Yes,3/30/22
Acropora cervicornis,48,SI-C,Untreated,6,2,4/22/22,RTL,4/22/22,,5.058,3/15/22,35.5,28.2,5.4149,4/21/22,36.3,28.3,,
Acropora cervicornis,86,SI-C,Untreated,7,2,4/22/22,RTL,4/22/22,,4.3628,3/15/22,35.5,28.1,4.6621,4/21/22,36.3,28,Yes,4/22/22
Acropora cervicornis,95,SI-C,Untreated,6,3,6/14/22,tissue sampling,,3,5.6526,3/15/22,35.6,28.1,,,,,Yes,3/22/22
Acropora cervicornis,114,SI-C,Untreated,7,3,6/1/22,tissue sampling,6/1/22,3,4.8179,3/15/22,35.6,28.2,,,,,Yes,4/20/22
Acropora cervicornis,123,SI-C,Untreated,6,3,6/29/22,RTL,,3,5.3415,3/15/22,35.7,28,,,,,Yes,4/20/22
Acropora cervicornis,5,SI-C,Untreated,7,4,6/22/22,RTL,6/22/22,4,6.0474,3/15/22,35.6,28.2,,,,,Yes,3/22/22
Acropora cervicornis,46,SI-C,Untreated,6,4,6/23/22,RTL,,4,4.3032,3/15/22,35.5,27.9,4.644,4/21/22,36.4,28.1,Yes,4/22/22
Acropora cervicornis,82,SI-C,Untreated,7,4,6/23/22,dead,6/23/22,4,5.3212,3/15/22,35.5,28.2,,,,,Yes,4/20/22
Acropora cervicornis,31,SI-C,Untreated,7,5,4/23/22,RTL,4/23/22,,5.2846,3/15/22,35.6,28.1,,,,,Yes,3/30/22
Acropora cervicornis,67,SI-C,Untreated,6,5,4/23/22,RTL,4/23/22,,5.77,3/15/22,35.6,28.1,,,,,,
Acropora cervicornis,119,SI-C,Untreated,7,5,4/23/22,RTL,4/23/22,,4.512,3/15/22,35.5,27.4,,,,,Yes,3/30/22
Acropora cervicornis,12,SI-C,Untreated,7,6,6/28/22,RTL,,6,8.705,3/15/22,35.5,27.5,9.1,4/21/22,36.3,28.2,Yes,4/22/22
Acropora cervicornis,34,SI-C,Untreated,7,6,6/27/22,RTL,,6,5.5131,3/15/22,35.6,28.2,,,,,Yes,3/22/22
Acropora cervicornis,78,SI-C,Untreated,6,7,6/14/22,RTL,,7,5.3731,3/15/22,35.5,28,,,,,Yes,3/22/22
Acropora cervicornis,87,SI-C,Untreated,7,7,6/14/22,tissue sampling,,7,3.9994,3/15/22,35.5,27.4,,,,,Yes,6/1/22
Acropora cervicornis,93,SI-C,Untreated,6,8,6/30/22,RTL,,8,4.4685,3/15/22,35.5,28.1,4.9069,4/21/22,36.3,28.3,Yes,4/22/22
Acropora cervicornis,120,SI-C,Untreated,6,8,6/14/22,tissue sampling,,8,4.6956,3/15/22,35.5,28.1,,,,,Yes,3/30/22
Acropora cervicornis,37,SI-C,,5,,2/28/22,RTL,2/28/22,,,,,,,,,,,
Acropora cervicornis,47,SI-C,,8,,3/1/22,RTL,3/1/22,,,,,,,,,,,
Acropora cervicornis,50,SI-C,,5,,3/2/22,RTL,,,,,,,,,,,,
Acropora cervicornis,66,SI-C,,7,,2/28/22,RTL,2/28/22,,,,,,,,,,,
Acropora cervicornis,98,SI-C,,8,,2/28/22,RTL,2/28/22,,,,,,,,,,,
Acropora cervicornis,127,SI-C,,6,,3/1/22,RTL,3/1/22,,,,,,,,,,,
Acropora cervicornis,144,SI-C,,5,,3/2/22,RTL,3/2/22,,,,,,,,,,,
Pseudodiploria clivosa,128,A,Treated,3,1,4/23/22,RTL,4/23/22,,5.7372,3/18/22,35.2,26.6,,,,,Yes,3/22/22
Pseudodiploria clivosa,141,A,Treated,2,1,4/23/22,RTL,4/23/22,,4.555,3/17/22,35.5,28.1,4.7342,4/21/22,36.2,28.2,Yes,4/22/22
