	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora165	1	4	1	3	3	3	0	0	5	5	3	0	0	0	0	0	0	1	4	0	1	2	3	0	2	1	5	0	0	6	3	4	0	2	2	0	2	1	3	0	0	2	0	2	1	0	1	4	
Acropora166	0	3	0	1	2	0	2	0	0	1	0	2	0	3	0	1	2	3	0	0	0	0	0	0	1	0	1	0	0	3	0	1	1	2	0	0	2	0	0	0	1	0	2	3	0	0	2	1	
Acropora167	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	
Acropora168	0	4	0	0	1	0	1	2	0	1	3	1	0	2	4	0	0	0	5	2	1	0	0	2	0	6	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	5	0	0	0	3	
Acropora169	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	
Acropora17	24	51	38	24	25	37	50	30	10	13	47	27	9	27	12	11	16	29	59	4	10	5	9	26	8	6	46	3	15	52	29	37	16	22	21	11	15	29	20	5	15	11	40	46	16	9	16	35	
Acropora170	37	50	55	46	32	48	27	39	10	21	53	43	31	55	40	18	18	41	54	19	7	3	18	34	19	9	44	6	7	34	37	36	23	47	14	9	32	45	26	13	14	32	30	60	26	12	13	26	
Acropora171	38	26	25	25	24	28	24	21	18	25	31	23	19	26	22	17	10	11	30	12	7	6	18	19	20	12	31	5	19	41	17	33	9	29	23	11	32	47	33	9	8	13	22	42	29	6	11	35	
Acropora172	12	31	30	15	21	36	37	22	12	9	47	36	16	33	20	6	14	17	20	5	2	3	9	19	13	5	43	4	11	44	33	21	14	35	15	5	16	22	9	12	5	13	28	42	16	11	5	27	
Acropora173	15	22	27	17	27	31	40	11	10	14	41	20	9	20	13	3	9	16	15	12	6	1	2	13	11	3	17	5	13	29	13	31	8	25	10	4	21	46	24	0	8	12	21	11	17	8	11	31	
Acropora174	5	6	8	0	4	2	5	3	9	0	7	2	2	1	0	8	3	5	3	0	2	0	0	5	1	3	3	1	1	5	1	7	1	2	2	1	4	4	0	0	2	13	6	8	4	1	1	2	
Acropora175	102	126	139	82	96	132	221	198	66	103	162	132	53	123	79	29	98	78	143	26	35	10	72	112	42	27	81	24	22	101	158	168	43	112	109	22	59	133	90	31	37	58	151	176	103	26	22	100	
Acropora176	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora177	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora178	28	22	19	46	40	30	39	43	19	26	52	18	18	57	31	20	18	26	25	3	10	3	22	20	22	9	81	4	12	76	48	46	39	56	25	20	45	135	21	18	18	22	47	59	30	37	17	105	
Acropora179	143	132	98	84	98	76	68	155	47	61	137	115	51	99	59	48	62	111	144	7	52	5	26	122	44	65	74	14	26	99	153	93	64	87	95	21	85	167	111	73	59	73	89	195	116	35	43	91	
Acropora18	0	1	1	3	5	3	1	3	0	2	2	2	3	0	0	0	0	0	0	0	1	0	7	3	0	0	1	0	0	2	3	3	0	2	2	0	0	1	0	0	0	1	2	3	0	0	0	0	
Acropora180	5	7	2	4	5	6	6	3	1	2	4	3	5	7	0	3	2	8	6	0	7	3	5	3	9	5	24	0	7	10	5	7	5	14	10	1	16	24	16	3	9	3	10	24	12	6	3	15	
Acropora181	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora182	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Acropora183	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Acropora184	32	21	23	14	42	27	44	22	9	12	10	19	10	11	7	3	1	27	32	3	3	1	4	46	4	5	10	6	1	13	14	9	1	9	34	6	27	19	14	2	6	18	25	26	11	3	7	7	
Acropora185	3	4	1	3	0	0	1	2	1	1	3	1	1	4	9	0	1	3	3	0	0	0	1	3	1	0	1	4	0	0	4	2	2	4	5	0	0	2	4	1	2	1	4	1	1	2	1	4	
Acropora186	273	327	248	266	247	368	463	346	232	307	384	296	170	287	409	213	266	192	277	99	145	40	225	151	206	132	372	58	150	298	212	406	269	278	244	151	345	356	225	134	143	225	453	368	307	137	177	313	
Acropora187	3	3	2	2	3	3	6	3	2	4	6	1	1	4	2	3	4	4	2	0	3	1	2	4	2	9	15	2	4	11	12	19	5	12	4	3	8	8	22	8	6	0	31	17	19	0	6	6	
Acropora188	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora189	15	23	15	11	24	21	34	29	16	21	31	15	13	12	30	9	14	13	22	12	7	8	14	15	13	12	23	5	12	30	24	38	11	22	22	8	16	22	16	13	9	16	18	17	15	14	6	14	
Acropora19	90	129	134	78	84	115	252	117	87	142	135	109	56	91	126	70	87	118	99	33	55	14	82	80	71	51	85	23	47	113	127	174	94	95	121	42	87	117	117	76	67	71	195	161	116	69	73	71	
Acropora190	6	8	12	6	11	9	16	18	11	18	11	10	5	8	23	4	10	2	6	2	2	2	9	15	11	6	18	2	6	19	8	24	12	3	7	4	11	15	17	8	0	6	5	10	5	8	9	9	
Acropora191	12	15	6	14	13	11	26	21	14	22	20	16	5	12	11	3	8	5	12	2	10	3	4	12	7	5	19	1	4	15	14	17	12	12	16	6	7	11	17	2	1	3	21	17	6	2	1	12	
Acropora192	3	9	10	2	6	9	5	8	7	3	12	5	1	13	7	2	6	7	10	1	1	0	2	7	3	3	13	1	2	6	9	13	7	10	4	6	4	15	5	4	3	1	9	7	7	4	3	6	
Acropora193	125	136	120	81	128	116	131	138	63	102	124	128	60	113	76	40	76	97	115	7	43	7	36	86	48	43	82	10	41	124	99	162	71	88	104	16	103	174	98	36	31	65	153	196	126	33	38	84	
Acropora194	6	23	9	5	15	13	7	11	14	5	15	10	2	9	18	7	6	6	9	0	11	0	8	2	7	5	4	0	8	7	11	15	9	6	8	1	14	18	9	7	7	2	11	21	22	2	3	7	
Acropora195	41	22	36	28	32	32	42	46	21	22	26	27	16	20	25	29	26	29	34	4	13	5	16	12	7	21	26	3	12	22	25	52	17	16	25	7	27	43	18	11	14	18	23	37	26	7	12	34	
Acropora196	14	16	14	19	25	18	24	23	12	20	22	16	7	14	7	5	14	14	18	0	6	0	4	16	8	3	9	4	8	16	21	27	6	20	16	2	17	29	12	2	6	7	14	31	12	4	4	7	
Acropora197	33	28	38	23	18	37	25	37	15	20	23	14	18	14	45	40	22	31	51	5	18	3	9	29	25	34	15	5	12	25	44	43	26	19	33	9	27	42	41	27	24	17	30	81	37	15	10	12	
Acropora198	122	164	187	92	139	166	215	183	55	144	217	141	63	132	94	37	63	135	152	38	45	8	77	129	60	43	130	20	32	140	144	198	63	143	109	37	130	221	92	34	42	73	164	194	107	25	60	127	
Acropora199	55	76	112	72	59	129	143	85	39	71	174	131	60	95	46	15	40	90	106	14	27	5	33	90	19	12	93	3	19	119	121	81	20	106	51	8	80	96	67	8	26	24	114	144	45	20	13	85	
Acropora20	0	1	2	0	0	1	1	4	0	0	1	2	1	0	0	0	2	0	0	1	0	0	3	1	0	0	0	0	0	1	0	2	2	1	2	0	2	2	1	0	0	3	2	0	1	0	2	1	
