Photo ID,Date,ID,Tank,Species,Photo #,Coral Position,Colony,Treatment,Treatment_Tank,CBASS_tank,Image J Points,Mean,X,Y,month,mean_Rintensity_percoral
3778,2022-03-08,52,7,Acropora cervicornis,1,2,BC-8b,Untreated,7,6,8,67,1739.167,1807.5,03,60.25
3778,2022-03-08,100,7,Acropora cervicornis,1,3,MB-B,Untreated,7,3,9,52,2342.5,2073.167,03,51.75
3778,2022-03-08,100,7,Acropora cervicornis,1,3,MB-B,Untreated,7,3,10,55,2334.5,1961.167,03,51.75
3778,2022-03-08,100,7,Acropora cervicornis,1,3,MB-B,Untreated,7,3,11,50,2338.5,1891.5,03,51.75
3778,2022-03-08,100,7,Acropora cervicornis,1,3,MB-B,Untreated,7,3,12,50,2331.5,2022.5,03,51.75
3778,2022-03-08,124,7,Acropora cervicornis,1,5,BC-8b,Untreated,7,3,17,46,3385.5,2126.167,03,50.5
3778,2022-03-08,124,7,Acropora cervicornis,1,5,BC-8b,Untreated,7,3,18,39,3428.167,2105.5,03,50.5
3778,2022-03-08,124,7,Acropora cervicornis,1,5,BC-8b,Untreated,7,3,19,68,3496.167,2053.5,03,50.5
3778,2022-03-08,124,7,Acropora cervicornis,1,5,BC-8b,Untreated,7,3,20,49,3440.5,1984.5,03,50.5
3779,2022-03-08,23,7,Acropora cervicornis,2,3,SI-C,Untreated,7,1,9,45,2065.5,2084.5,03,49
3779,2022-03-08,23,7,Acropora cervicornis,2,3,SI-C,Untreated,7,1,10,48,2117.5,1976.5,03,49
3779,2022-03-08,23,7,Acropora cervicornis,2,3,SI-C,Untreated,7,1,11,46,2103.5,1926.5,03,49
3779,2022-03-08,23,7,Acropora cervicornis,2,3,SI-C,Untreated,7,1,12,57,2108.5,1727.5,03,49
3779,2022-03-08,31,7,Acropora cervicornis,2,2,SI-C,Untreated,7,5,5,36,1638.5,2171.5,03,43.25
3779,2022-03-08,31,7,Acropora cervicornis,2,2,SI-C,Untreated,7,5,6,43,1629.5,2083.5,03,43.25
3779,2022-03-08,31,7,Acropora cervicornis,2,2,SI-C,Untreated,7,5,7,45,1620.5,1922.5,03,43.25
3779,2022-03-08,31,7,Acropora cervicornis,2,2,SI-C,Untreated,7,5,8,49,1626.5,1794.5,03,43.25
3779,2022-03-08,57,7,Acropora cervicornis,2,4,MB-B,Untreated,7,3,13,50,2625.167,2184.833,03,51.5
3779,2022-03-08,57,7,Acropora cervicornis,2,4,MB-B,Untreated,7,3,14,55,2585.167,2086.833,03,51.5
3779,2022-03-08,57,7,Acropora cervicornis,2,4,MB-B,Untreated,7,3,15,50,2599.167,1957.5,03,51.5
3779,2022-03-08,57,7,Acropora cervicornis,2,4,MB-B,Untreated,7,3,16,51,2647.833,1836.833,03,51.5
3779,2022-03-08,112,7,Acropora cervicornis,2,5,MB-B,Untreated,7,7,17,48,3189.5,2101.5,03,60.25
3779,2022-03-08,112,7,Acropora cervicornis,2,5,MB-B,Untreated,7,7,18,60,3176.5,2013.5,03,60.25
3779,2022-03-08,112,7,Acropora cervicornis,2,5,MB-B,Untreated,7,7,19,65,3148.5,1923.5,03,60.25
3779,2022-03-08,112,7,Acropora cervicornis,2,5,MB-B,Untreated,7,7,20,68,3105.5,1716.5,03,60.25
3779,2022-03-08,114,7,Acropora cervicornis,2,1,SI-C,Untreated,7,3,1,54,1083,2202,03,52.75
3779,2022-03-08,114,7,Acropora cervicornis,2,1,SI-C,Untreated,7,3,2,48,1098.5,2056.5,03,52.75
3779,2022-03-08,114,7,Acropora cervicornis,2,1,SI-C,Untreated,7,3,3,61,1050.5,1932.5,03,52.75
3779,2022-03-08,114,7,Acropora cervicornis,2,1,SI-C,Untreated,7,3,4,48,1069.5,1820.5,03,52.75
3780,2022-03-08,70,7,Acropora cervicornis,3,4,BC-8b,Untreated,7,4,13,54,2917.5,2111.833,03,56.25
3780,2022-03-08,70,7,Acropora cervicornis,3,4,BC-8b,Untreated,7,4,14,57,2892.167,2066.5,03,56.25
3780,2022-03-08,70,7,Acropora cervicornis,3,4,BC-8b,Untreated,7,4,15,51,2902.833,2035.167,03,56.25
3780,2022-03-08,70,7,Acropora cervicornis,3,4,BC-8b,Untreated,7,4,16,63,2905.5,1885.167,03,56.25
3780,2022-03-08,84,7,Acropora cervicornis,3,3,BC-8b,Untreated,7,5,9,58,2443.5,2146.167,03,79.5
3780,2022-03-08,84,7,Acropora cervicornis,3,3,BC-8b,Untreated,7,5,10,80,2414.833,2000.833,03,79.5
3780,2022-03-08,84,7,Acropora cervicornis,3,3,BC-8b,Untreated,7,5,11,90,2388.167,1912.833,03,79.5
3780,2022-03-08,84,7,Acropora cervicornis,3,3,BC-8b,Untreated,7,5,12,90,2336.833,1653.5,03,79.5
3780,2022-03-08,89,7,Acropora cervicornis,3,5,BC-8b,Untreated,7,2,17,75,3489.5,2108.167,03,60.5
3780,2022-03-08,89,7,Acropora cervicornis,3,5,BC-8b,Untreated,7,2,18,48,3440.833,1970.167,03,60.5
3780,2022-03-08,89,7,Acropora cervicornis,3,5,BC-8b,Untreated,7,2,19,61,3469.5,1830.833,03,60.5
3780,2022-03-08,89,7,Acropora cervicornis,3,5,BC-8b,Untreated,7,2,20,58,3515.5,1703.5,03,60.5
3780,2022-03-08,104,7,Acropora cervicornis,3,2,BC-8b,Untreated,7,1,5,61,1802.5,2123.167,03,74
3780,2022-03-08,104,7,Acropora cervicornis,3,2,BC-8b,Untreated,7,1,6,67,1859.833,2003.167,03,74
3780,2022-03-08,104,7,Acropora cervicornis,3,2,BC-8b,Untreated,7,1,7,79,1799.833,1876.5,03,74
3780,2022-03-08,104,7,Acropora cervicornis,3,2,BC-8b,Untreated,7,1,8,89,1801.167,1834.5,03,74
3780,2022-03-08,115,7,Acropora cervicornis,3,1,BC-8b,Untreated,7,8,1,73,1428,1911,03,77.25
3780,2022-03-08,115,7,Acropora cervicornis,3,1,BC-8b,Untreated,7,8,2,65,1367.5,2152.5,03,77.25
3780,2022-03-08,115,7,Acropora cervicornis,3,1,BC-8b,Untreated,7,8,3,75,1448.5,1809.5,03,77.25
3780,2022-03-08,115,7,Acropora cervicornis,3,1,BC-8b,Untreated,7,8,4,96,1480.5,1683.5,03,77.25
3781,2022-03-08,33,7,Acropora cervicornis,4,1,MB-B,Untreated,7,2,1,77,1311,2216,03,58.5
3781,2022-03-08,33,7,Acropora cervicornis,4,1,MB-B,Untreated,7,2,2,60,1281.167,2038.833,03,58.5
