gene,Fish_kME
Acropora10809,0.292163396652343
Acropora10811,0.470559010117417
Acropora10812,0.370354678365964
Acropora10813,0
Acropora10814,0
Acropora10815,0
Acropora10816,0
Acropora10817,0
Acropora10818,0
Acropora10819,0.802927313924397
Acropora10822,0.300010943163786
Acropora10823,0.691355767612023
Acropora10824,0.463266711079254
Acropora10825,0.228996162327268
Acropora10826,0
Acropora10827,0
Acropora10829,0
Acropora1083,0
Acropora10830,0
Acropora10831,0
Acropora10832,0
Acropora10833,0
Acropora10835,0.654058774486963
Acropora10836,0
Acropora10838,0.667521157981243
Acropora10839,0.924011538396703
Acropora10840,0
Acropora10841,0
Acropora10843,0
Acropora10844,0
Acropora10845,0
Acropora10848,0.384446402876603
Acropora10849,0
Acropora1085,0
Acropora10850,0.734478733206752
Acropora10851,0
Acropora10852,0
Acropora10853,0
Acropora10855,0
Acropora10856,0.27401911503825
Acropora10857,0
Acropora10858,0.625175108446288
Acropora10859,0
Acropora1086,0
Acropora10860,0.605938063374433
Acropora10862,0.543549930957682
Acropora10863,0
Acropora10864,0
Acropora10865,0
Acropora10867,0
Acropora10868,0
Acropora10869,0.562761053248245
Acropora1087,0
Acropora10870,0.52690175048946
Acropora10872,0.31041977957307
Acropora10876,0
Acropora10878,0
Acropora1088,0
Acropora10881,0.786990481884208
Acropora10882,0
Acropora10884,0
Acropora10885,0.842116912818143
Acropora10887,0.302234211270709
Acropora10888,0.339895684852605
Acropora10889,0
Acropora1089,0
Acropora10890,0
Acropora10891,0
Acropora10893,0
Acropora10896,0
Acropora10897,0.340797436832748
Acropora10898,0.645156596359972
Acropora109,0
Acropora1090,0
Acropora10900,0
Acropora10901,0.596243550230306
Acropora10903,0.634711713460027
Acropora10904,0.705117806347877
Acropora10906,0.613889989995459
Acropora10907,0
Acropora10908,0.445726986401413
Acropora10909,0.593610975364375
Acropora1091,0
Acropora10912,0
Acropora10914,0
Acropora10916,0
Acropora10919,0.39204799507591
Acropora1092,0.341382750531032
Acropora10921,0.392344976099154
Acropora10923,0
Acropora10924,0
Acropora10927,0.755500679792595
Acropora10929,0
Acropora1093,0
Acropora10930,0.807129492440794
Acropora10931,0.61232226013202
Acropora10932,0
Acropora10934,0.629054661559482
Acropora10935,0
Acropora10936,0
Acropora10937,0
Acropora10938,0
Acropora10939,0
Acropora1094,0
Acropora10940,0
Acropora10941,0.498443542035831
Acropora10943,0.55821087552602
Acropora10944,0
Acropora10945,0
Acropora10946,0.883368911333079
Acropora10947,0
Acropora10948,0.466058843259782
Acropora10949,0.680550797365666
Acropora1095,0
Acropora10951,0.370241679093614
Acropora10953,0
Acropora10956,0
Acropora10957,0
Acropora10959,0
Acropora1096,0
Acropora10962,0
Acropora10963,0.592352754066775
Acropora10964,0
Acropora10965,0
Acropora10966,0.610860348590411
Acropora10967,0
Acropora10968,0.475759462092745
Acropora10969,0.347948541535701
Acropora10970,0
Acropora10971,0.366098193344502
Acropora10973,0.166337958436245
Acropora10975,0
Acropora10976,0.332694784735666
Acropora10977,0.292973601518259
Acropora10978,0
Acropora10979,0
Acropora1098,0
Acropora10981,0
Acropora10982,0
Acropora10985,0
Acropora10987,0
Acropora10988,0
Acropora10989,0
Acropora1099,0
Acropora10990,0
Acropora10991,0
Acropora10992,0
Acropora10993,0
Acropora10994,0
Acropora10995,0.436632811703901
Acropora10996,0
Acropora10997,0
Acropora10998,0
Acropora10999,0
Acropora11,0
Acropora110,0
Acropora1100,0
Acropora11000,0.727067376124369
Acropora11001,0
Acropora11002,0.758394132598365
Acropora11004,0
Acropora11006,0
Acropora11008,0
Acropora11009,0.744797859338657
Acropora1101,0
Acropora11010,0
Acropora11011,0.402709232506841
Acropora11012,0
Acropora11013,0
Acropora11014,0
Acropora11015,0
Acropora11016,0
Acropora11017,0
Acropora11018,0
Acropora11019,0
Acropora1102,0
Acropora11020,0
Acropora11022,0
Acropora11023,0.46448346607957
Acropora11024,0
Acropora11025,0.619142692488121
Acropora11027,0
Acropora11028,0.439046697528028
Acropora11029,0.68895603031831
Acropora1103,0
Acropora11032,0
Acropora11033,0
Acropora11034,0
Acropora11035,0
Acropora11037,0.499648632441854
Acropora11038,0
Acropora11039,0.440926200662027
Acropora1104,0
Acropora11041,0.293959227804318
Acropora11042,0
Acropora11043,0
Acropora11045,0
Acropora11046,0
Acropora11047,0
Acropora11049,0
Acropora1105,0
Acropora11050,0.158121690062755
Acropora11051,0.580904578190074
Acropora11052,0
Acropora11053,0
Acropora11054,0.236860122200745
Acropora11055,0
Acropora11056,0
Acropora11057,0.694796001451268
Acropora11059,0.610200926136058
Acropora1106,0
Acropora11060,0
Acropora11061,0
Acropora11062,0
Acropora11063,0.439923310461911
Acropora11065,0.361216871956063
Acropora11066,0
Acropora11067,0.431647816751067
Acropora11068,0
Acropora1107,0
Acropora11070,0
Acropora11071,0
Acropora11075,0
Acropora11077,0
Acropora11078,0
Acropora11079,0.736838836412873
Acropora1108,0
Acropora11080,0
Acropora11083,0.850047480120053
Acropora11086,0.33086681024713
Acropora11087,0.593087402542693
Acropora11088,0.725625239877032
Acropora1109,0
Acropora11090,0
Acropora11091,0.511221669263861
Acropora11092,0
Acropora11093,0.451468658490757
Acropora11094,0
Acropora11095,0.780926465311717
Acropora11097,0
Acropora11098,0.518057951554742
Acropora11099,0
Acropora111,0
Acropora1110,0
Acropora11100,0
Acropora11101,0.268031073930205
Acropora11104,0
Acropora11105,0
Acropora11106,0.681775081452114
Acropora11107,0
Acropora11108,0
Acropora1111,0.768025409530404
Acropora11110,0.823087383464587
Acropora11111,0.562417612562522
Acropora11116,0.530848517730957
Acropora11117,0
Acropora11118,0
Acropora11119,0.790421628968661
Acropora1112,0
Acropora11121,0.456790801064023
Acropora11124,0
Acropora11126,0
Acropora11128,0
Acropora1113,0.549461700056425
Acropora11131,0.255034964830032
Acropora11133,0
Acropora11134,0.338999437437532
Acropora11135,0
Acropora11136,0.50325442429354
Acropora11139,0
Acropora1114,0
Acropora11140,0
Acropora11141,0
Acropora11142,0.733077651429835
Acropora11143,0.812871155605394
Acropora11144,0
Acropora11145,0
Acropora11146,0
Acropora11149,0
Acropora1115,0
Acropora11150,0.512664714782928
Acropora11151,0
Acropora11152,0
Acropora11153,0.344495906655739
Acropora11154,0.731246091115308
Acropora11157,0
Acropora11158,0
Acropora11159,0.07796558826659
Acropora1116,0
Acropora11160,0
Acropora11162,0
Acropora11163,0
Acropora11166,0.634104812860381
Acropora11167,0.173243677211926
Acropora11168,0.687406834059397
Acropora11169,0
Acropora1117,0
Acropora11170,0.42976669811504
Acropora11171,0
Acropora11172,0.345772697905597
Acropora11173,0.918357127906074
Acropora11174,0
Acropora11175,0.511252229722018
Acropora11176,0
Acropora11177,0
Acropora11179,0
Acropora1118,0
Acropora11181,0.662686631147933
Acropora11182,0.376680125059009
Acropora11185,0.737733457082933
Acropora11187,0
Acropora11188,0.497509061931472
Acropora1119,0
Acropora11190,0
Acropora11192,0
Acropora11195,0.298616868253038
Acropora11196,0.512803368877562
Acropora11197,0
Acropora11198,0.559935436647802
Acropora11199,0
Acropora112,0
Acropora1120,0
Acropora11200,0
Acropora11201,0
Acropora11202,0
Acropora11204,0
Acropora11206,0
Acropora11207,0
Acropora11208,0
Acropora11209,0
Acropora1121,0
Acropora11213,0
Acropora11214,0
Acropora11215,0
Acropora11216,0
Acropora11217,0
Acropora11218,0
Acropora11219,0
Acropora1122,0
Acropora11221,0
Acropora11222,0.830646178322065
Acropora11223,0.44981175233963
Acropora11224,0.838644687288271
Acropora11226,0.316115328554812
Acropora11227,0
Acropora11228,0
Acropora11229,0
Acropora1123,0
Acropora11230,0
Acropora11231,0
Acropora11233,0
Acropora11234,0.635205542192639
Acropora11236,0
Acropora11237,0.284376345354543
Acropora11238,0
Acropora11239,0.65707797823329
Acropora11241,0
Acropora11242,0
Acropora11245,0
Acropora11246,0.738709807746689
Acropora11248,0
Acropora11249,0.491606440390049
Acropora1125,0
Acropora11250,0.253548705746558
Acropora11251,0.754876822502102
Acropora11252,0.273594283370215
Acropora11253,0.491401100977077
Acropora11255,0
Acropora11256,0.868874646225922
Acropora11258,0.383568749982617
Acropora11259,0.524519234279253
Acropora1126,0
Acropora11261,0
Acropora11263,0.646488647033445
Acropora11264,0
Acropora11265,0
Acropora11266,0
Acropora11267,0
Acropora11268,0.448194006360994
Acropora11269,0
Acropora1127,0
Acropora11270,0.274053462477684
Acropora11271,0
Acropora11272,0
Acropora11273,0
Acropora11274,0
Acropora11276,0
Acropora11278,0
Acropora1128,0
Acropora11280,0
Acropora11281,0.710237475973319
Acropora11282,0
Acropora11283,0
Acropora11284,0
Acropora11286,0.274892074060831
Acropora11288,0.681782534155588
Acropora1129,0
Acropora11291,0
Acropora11292,0.405907610270367
Acropora11293,0.494633066165574
Acropora11294,0
Acropora11295,0.522639696559965
Acropora11296,0
Acropora11299,0
Acropora113,0
Acropora1130,0
Acropora11300,0
Acropora11301,0.646912678264949
Acropora11302,0
Acropora11304,0
Acropora11305,0
Acropora11309,0
Acropora1131,0.598750515447936
Acropora11310,0
Acropora11312,0
Acropora11315,0
Acropora11316,0
Acropora11317,0
Acropora11319,0.458732345010632
Acropora1132,0.517784967530713
Acropora11320,0
Acropora11321,0.536253583573674
Acropora11322,0
Acropora11324,0
Acropora11326,0
Acropora11327,0
Acropora11328,0.790618108797245
Acropora11329,0
Acropora1133,0.319337454812928
Acropora11330,0
Acropora11331,0
Acropora11332,0.548509325220254
Acropora11334,0
Acropora11335,0
Acropora11336,0
Acropora11339,0.655057175847166
Acropora1134,0
Acropora11340,0
Acropora11342,0
Acropora11343,0
Acropora11344,0
Acropora11345,0.452341862096012
Acropora11346,0
Acropora11348,0
Acropora11349,0
Acropora1135,0
Acropora11350,0.816697973939596
Acropora11351,0
Acropora11352,0
Acropora11353,0.267542154394857
Acropora11355,0
Acropora11356,0.225204252080299
Acropora11357,0
Acropora11358,0
Acropora11360,0
Acropora11361,0
Acropora11362,0
Acropora11365,0
Acropora11366,0
Acropora11367,0
Acropora11368,0
Acropora11369,0.4819485497236
Acropora1137,0
Acropora11370,0.457218098914159
Acropora11371,0
Acropora11372,0
Acropora11373,0
Acropora11374,0
Acropora11375,0
Acropora11377,0
Acropora11378,0.450569801610045
Acropora11379,0
Acropora1138,0.630097231539423
Acropora11380,0
Acropora11381,0
Acropora11385,0
Acropora11386,0
Acropora11387,0.293265592513946
Acropora11389,0.568997126206769
Acropora11391,0
Acropora11392,0.715470833454613
Acropora11394,0
Acropora11395,0
Acropora11396,0
Acropora11398,0
Acropora11399,0
Acropora114,0
Acropora1140,0
Acropora11400,0
Acropora11401,0
Acropora11403,0
Acropora11405,0
Acropora11406,0
Acropora11409,0
Acropora11410,0.326262014277714
Acropora11411,0
Acropora11412,0.589284495507538
Acropora11413,0
Acropora11414,0
Acropora11415,0.612704940411259
Acropora11417,0
Acropora1142,0
Acropora11420,0.282565719669418
Acropora11422,0.626859885261474
Acropora11423,0
Acropora11424,0
Acropora11426,0
Acropora11427,0
Acropora11428,0.753457496082001
Acropora11429,0
Acropora1143,0
